age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
0 to 29 years,Female,New Brunswick,Bachelor's degree,"$50,000 to $74,999",Born in Canada,33,4.412749905393317e-5
0 to 29 years,Female,New Brunswick,Bachelor's degree,"$75,000 to $99,999",Born in Canada,43,5.749946846421594e-5
0 to 29 years,Female,New Brunswick,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,2,2.6743938820565553e-6
0 to 29 years,Female,New Brunswick,Bachelor's degree,"$10,000 to $149,999",Born in Canada,34,4.546469599496144e-5
0 to 29 years,Female,New Brunswick,Bachelor's degree,"$150,000 and more",Born in Canada,42,5.6162271523187664e-5
0 to 29 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,2,2.6743938820565553e-6
0 to 29 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,5,6.685984705141388e-6
0 to 29 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,3,4.011590823084833e-6
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,548,7.327839236834962e-4
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,81,1.083129522232905e-4
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,717,9.587702067172751e-4
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,124,1.6581242068750644e-4
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,740,9.895257363609256e-4
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,104,1.3906848186694088e-4
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,508,6.79296046042365e-4
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born outside Canada,62,8.290621034375322e-5
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,629,8.410968759067867e-4
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,42,5.6162271523187664e-5
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,504,6.739472582782519e-4
0 to 29 years,Female,Quebec,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,23,3.075552964365039e-5
